word,isEnlgish
rjt,0
gkek,0
dlTek,0
dlTek,0
ehlek,0
tn,0
gkek,0
sk,0
rm,0
djqtek,0
dksgek,0
tkfka,0
dnfl,0
dl,0
rm,0
dkslek,0
qhek,0
emd,0
Eo,0
rj,0
qhek,0
rkxek,0
wnek,0
eogkek,0
rkek,0
sus,0
gks,0
akf,0
dlf,0
dl,0
Eoans,0
akfgkek,0
dnlgkek,0
rmfjsk,0
dhek,0
dkfek,0
Tl,0
rmfjgek,0
zmek,0
Eh,0
dlf,0
tkghl,0
aksgek,0
dks,0
whgek,0
ej,0
qkeek,0
rmrjt,0
wlq,0
skdhek,0
Ekfmek,0
rmflrh,0
answp,0
rmfjs,0
tkfek,0
wj,0
ahtgkek,0
todrkrgkek,0
ahfmek,0
thr,0
aksemfek,0
ep,0
en,0
dkv,0
ruddn,0
wnd,0
djEjs,0
wkf,0
rmsu,0
ajrek,0
dhek,0
wktls,0
ansghk,0
dnjs,0
todrkr,0
djEjgek,0
aud,0
xhdgkek,0
rmfjek,0
thfl,0
ektl,0
ekfms,0
dlfjs,0
duwk,0
ro,0
wjdeh,0
enl,0
emeek,0
ek,0
wha,0
emfek,0
tlvek,0
qhdlek,0
rkwlek,0
gkaRp,0
dkdl,0
wlskek,0
aksgdl,0
tlrks,0
sj,0
wnek,0
dlsrks,0
tktlf,0
skek,0
dlfjgek,0
djajsl,0
sns,0
anj,0
wja,0
dmlgkek,0
tleo,0
ekdma,0
dlfjgkek,0
snrn,0
wjs,0
rht,0
dufj,0
dks,0
gksk,0
tprP,0
qjflek,0
dnl,0
dnsehd,0
vjtpsxm,0
gkrry,0
wkrl,0
rkwkd,0
eoxhdfud,0
rkwl,0
emfek,0
tlwkrgkek,0
qkfh,0
djsm,0
rmfotj,0
andjt,0
wjdqn,0
ahems,0
qjs,0
rmrj,0
ehs,0
rnrrk,0
rmfjsep,0
skf,0
durl,0
ahen,0
dutjd,0
clsrn,0
akdma,0
gn,0
rkek,0
shgek,0
rhksrP,0
dkqjwl,0
skawk,0
djel,0
aha,0
djfrnf,0
emfdjrkek,0
dho,0
skxkskek,0
akfek,0
wldur,0
ekfmek,0
ahtmq,0
anf,0
aksskek,0
soek,0
qhdlek,0
Tmek,0
dlrjt,0
djqtdl,0
dlqjs,0
rlf,0
todghkf,0
Tmek,0
wlrma,0
Qns,0
tkdl,0
qkdqjq,0
tofhqek,0
dnflskfk,0
soek,0
dkswek,0
cjdma,0
ths,0
auc,0
rmEo,0
rhkwjd,0
tkfa,0
rkwek,0
ckwek,0
xmrgl,0
tl,0
dltkd,0
wlrma,0
skrkek,0
dldirl,0
rydbr,0
tkek,0
rudwp,0
dkwlr,0
wkqek,0
rkxdl,0
tjstodsla,0
dPtnf,0
tjek,0
aht,0
durtk,0
dlfrek,0
dlwp,0
rufrhk,0
sodyd,0
anffhs,0
ehddks,0
cor,0
dlfdjskek,0
ekdtls,0
tlwkd,0
sjgek,0
wnddygkek,0
antms,0
smRlek,0
djfuqek,0
gla,0
sjan,0
skfk,0
qnfmek,0
dmlal,0
wkfl,0
qkfrglek,0
wnrek,0
dlal,0
Whr,0
wjdcl,0
rnrals,0
todaud,0
dOrl,0
gkrtod,0
dusrn,0
djaak,0
dlfma,0
gksk,0
soflek,0
tkrjs,0
alc,0
tnlqek,0
wltek,0
Ehgks,0
dldb,0
Ehsms,0
vlfdygkek,0
rmf,0
todrlek,0
tkdydgkek,0
skavus,0
emfdjdhek,0
qkR,0
tptkd,0
wkrek,0
xkek,0
eogkr,0
wkrvna,0
tkdghkd,0
rkdnsep,0
qhsoek,0
enek,0
wmr,0
Ekfktj,0
tkdxo,0
dlgn,0
ekdtl,0
ansgkr,0
ejdnr,0
dkwn,0
wlqkd,0
qka,0
shvek,0
chlrms,0
co,0
gustlf,0
ghksrud,0
zjavbxj,0
ajswj,0
ekslek,0
djfaksk,0
wkcp,0
dufek,0
ajfl,0
aneek,0
skaek,0
qnqns,0
rldjq,0
rjrl,0
qusghk,0
dkemf,0
Emt,0
dk,0
rlekflek,0
Ejfdjwlek,0
tjsrj,0
rhksgkek,0
qns,0
rmsid,0
sksnek,0
dldydgkek,0
rjdml,0
rhe,0
wndtla,0
ghkfehd,0
dhsmf,0
tjfh,0
rhkstla,0
durtl,0
dlrj,0
do,0
rhkdrh,0
skek,0
qkd,0
wjdtls,0
dlfmek,0
Ekd,0
dlfnek,0
dkcla,0
dntek,0
gustkd,0
enek,0
Ejskek,0
rltnf,0
wjscp,0
rmfo,0
djeek,0
dkfmaekqek,0
Rmx,0
alswhr,0
rks,0
whtk,0
emt,0
dlq,0
anj,0
rmeofh,0
dudghk,0
vlfdy,0
wnf,0
gksmf,0
suseo,0
rhkgkr,0
emtgkek,0
wkdus,0
wjdakf,0
rnwh,0
rufrnr,0
qkq,0
dlqek,0
dhglfu,0
vmfhrmfoa,0
sp,0
dlfndjwlek,0
ska,0
gkfn,0
rmfla,0
wjr,0
xj,0
aktlek,0
clek,0
ghswk,0
skrkek,0
dlwp,0
rytn,0
tnf,0
tkfkd,0
dmltlr,0
wjsghk,0
Rmxskek,0
ehfdkdhek,0
akwek,0
dkQk,0
rjfflek,0
wlzlek,0
gksqjs,0
zjvl,0
rktma,0
rlfek,0
qkfkqhek,0
dkfdkqhek,0
ghltk,0
akt,0
eoqnqns,0
tksdjq,0
aodn,0
dhfmek,0
dmatlr,0
vywjd,0
Rhr,0
dlfqn,0
dywma,0
rPghlr,0
smRla,0
djfak,0
rhro,0
tjdrur,0
rPthr,0
tprl,0
tpdnek,0
dkso,0
rkwhr,0
guswo,0
tp,0
shgek,0
qkfwjs,0
ck,0
shfek,0
gidgkek,0
rhksfus,0
gudxo,0
rkr,0
ehtl,0
wkrdjq,0
qnsdnlrl,0
rmfjgkek,0
wkrl,0
skdl,0
dntjs,0
aleek,0
qkRnek,0
skgek,0
qk,0
wjdqh,0
dufflek,0
whgdkgkek,0
rmflek,0
akszma,0
qodnek,0
tl,0
durgkf,0
duv,0
godehd,0
dj,0
rnrso,0
qlgkek,0
rlrhks,0
dlqwkd,0
aksgkek,0
dP,0
dkfo,0
qkdtlr,0
dudgid,0
rmfja,0
sktjek,0
gmfmek,0
wj,0
rlvek,0
qo,0
so,0
ahdid,0
tks,0
to,0
gkwlaks,0
whrjs,0
ans,0
Rhc,0
eksrP,0
dhfflek,0
rmehddks,0
rytk,0
rkqwkrl,0
sjaek,0
wlslek,0
qkfka,0
wkfgkek,0
akdmf,0
djflek,0
eovy,0
rksmdtjd,0
qkdgid,0
eoghl,0
ahrthfl,0
shfo,0
qkek,0
glaemfek,0
rhdqn,0
dnawlrdlek,0
dmldnjs,0
shfur,0
ahtgkek,0
wjsgu,0
djssl,0
ekscp,0
qns,0
dkffuwlek,0
rksmdgkek,0
smdfur,0
wnwkdgkek,0
wktlr,0
ehfflek,0
qnf,0
wnals,0
ahdmek,0
wkfy,0
whswo,0
gkrsus,0
tlsans,0
rkwlek,0
dlgogkek,0
wpvna,0
qnsdi,0
tjstod,0
ehfdkrkek,0
tkdjq,0
goddnl,0
tnwns,0
wlsksgo,0
vygus,0
rlqns,0
eo,0
wjfaek,0
ehdtl,0
dht,0
rlsmd,0
tnsrks,0
wjswod,0
wjs,0
Rna,0
gkfajsl,0
ghldml,0
qkdthd,0
dldirlgkek,0
skan,0
wkek,0
dusrmr,0
dhsmf,0
akcksrkwl,0
rjeek,0
shehd,0
dlEo,0
rhkrj,0
rkcl,0
tlrks,0
wlqeks,0
guseo,0
tkfvuqhek,0
wkdrhks,0
ckdl,0
vnfek,0
tlwjf,0
anfrjs,0
wlrwjq,0
rodls,0
rmsep,0
qkf,0
wkrrk,0
gyrhk,0
qnfry,0
Rmfek,0
eofh,0
Qkffl,0
tlwkrehlek,0
enf,0
akfek,0
tjfaudgkek,0
dnwn,0
tlrl,0
akcl,0
tkf,0
todtks,0
qkfkek,0
rkdgkek,0
rudgja,0
dmadkr,0
chlrh,0
skxksoek,0
dkvmek,0
wjrek,0
ql,0
rhgid,0
shffkek,0
ekdidgkek,0
dnfek,0
shdals,0
emfjskek,0
dmsgod,0
wlsoek,0
rufghs,0
ehdtod,0
qjq,0
thtjf,0
dP,0
dhgn,0
wlftj,0
ekaek,0
ahdlek,0
tlals,0
ghlwkd,0
Qkfmek,0
tmtmfh,0
dkrl,0
dkwjTl,0
dPtskf,0
dlskf,0
wpeofh,0
ekf,0
ejswlek,0
cka,0
rhdrks,0
dlrht,0
Ekf,0
akwlakr,0
qjfdlek,0
quddnjs,0
wktp,0
rkdwhgkek,0
rudckf,0
akxek,0
wjsur,0
gksvus,0
rmfjaus,0
rlwk,0
sjfqek,0
tlgja,0
wka,0
wnfh,0
gnjfTls,0
aus,0
xhddlf,0
emfdjtjek,0
rjsrkd,0
rkRkqek,0
rjsanf,0
tltjf,0
dhlrnr,0
alx,0
djfms,0
wnqus,0
eotls,0
dnjsdls,0
vkfek,0
ckfP,0
rns,0
duftlagl,0
dlfgkek,0
wotks,0
whrma,0
xla,0
qnah,0
dirrks,0
djsdj,0
dyrngkek,0
dhffkrkek,0
cjt,0
rkaehr,0
rmskf,0
tktlf,0
wkwn,0
ekdgkek,0
tkaek,0
dir,0
rlrks,0
ekaqo,0
dlfdmzlek,0
dlfeks,0
gkfdkqjwl,0
whwlr,0
xodjskek,0
rhdwkd,0
qjfTj,0
wmfrlek,0
wl,0
ghkswk,0
qusgkek,0
tkrh,0
rmfoeh,0
dkanfl,0
akwcnek,0
Tkf,0
dlfqks,0
woaldlTek,0
rkfmclek,0
eoghk,0
akrek,0
dhfgo,0
gud,0
ekffl,0
qjflek,0
qnxdlek,0
dlsanf,0
smf,0
ahen,0
wjsrnr,0
akclek,0
wjs,0
ekaks,0
ehdna,0
rkwjd,0
rjfek,0
Qkwlek,0
ajfek,0
qjtm,0
dhsmfskf,0
wkatl,0
shddjq,0
eoek,0
tlr,0
dmlrus,0
aneo,0
tkwls,0
wnwkd,0
vygusgkek,0
dlsgkek,0
dltkdgkek,0
wpdlf,0
qnxek,0
dkak,0
dOrlgkek,0
dltek,0
whrma,0
rudrl,0
ahrwjr,0
xoeh,0
skatjd,0
wndnl,0
eocor,0
rmaks,0
qkftodgkek,0
ekfl,0
dkan,0
djWjek,0
wofy,0
rkrrkr,0
rufzh,0
dhfarlek,0
gkdtkd,0
go,0
dlfgek,0
wkdb,0
cordla,0
qkRnlek,0
qltmtgkek,0
tlagkek,0
rudwod,0
ekffj,0
tkfkdgkek,0
dksl,0
dufma,0
wkfkek,0
ghl,0
rncpwjr,0
rlghl,0
tlftlgkek,0
wlrn,0
qjsWo,0
thqlwk,0
tlfgek,0
rbah,0
rlwns,0
akf,0
qksemtl,0
tpa,0
rkwcnek,0
rmfjslRk,0
qkedkemfdlek,0
rkqt,0
guswkd,0
rjstjf,0
Rjsoek,0
shehdwk,0
ehdsp,0
djswpsk,0
dhkswjsgl,0
wkehdck,0
wjsgkek,0
whswogkek,0
rodnjf,0
akwek,0
quffh,0
djflsdl,0
wjdgkek,0
gksakel,0
dbwlgkek,0
dlepdhffhrl,0
rhdqngkek,0
eownd,0
smfdjskek,0
ekRek,0
aks,0
akfTma,0
rhoscksgek,0
snsanf,0
rkrwhd,0
qlc,0
dksl,0
vlgkek,0
rjclek,0
skdkrkek,0
di,0
wltlr,0
guswo,0
duwjsgl,0
wndls,0
qkfrusgkek,0
tjs,0
dlsfb,0
xmrwld,0
emflek,0
tjstn,0
gudtlr,0
akfusgkek,0
qks,0
qkfvygkek,0
wnwp,0
rjfclek,0
ruRek,0
rhkswja,0
rnl,0
rlqhs,0
alxj,0
tkfkwlek,0
djEjgkek,0
rkawjd,0
rldjr,0
sha,0
dlsrl,0
qo,0
dkvkxm,0
rkRma,0
rntjd,0
tnf,0
tlfwpfh,0
Wkfqek,0
rhakqek,0
rhksfl,0
rmrht,0
ekfek,0
qhek,0
qlfhtgkek,0
rhkdus,0
emfflek,0
ekfflek,0
qkQmek,0
dlwjs,0
dlswjdgkek,0
wk,0
wnddkd,0
skQmek,0
qnfrngkek,0
tlzlek,0
rpdla,0
rnrwp,0
rmfnq,0
dlstod,0
wjsxhd,0
rlfmek,0
wks,0
whtkgkek,0
zjekfkgek,0
dlTek,0
tldls,0
djswp,0
dhl,0
vudrk,0
sofudhek,0
dnlcl,0
wnfdlek,0
rkrur,0
ekffkwlek,0
qlek,0
tkarnr,0
thssla,0
dnjsgkek,0
xhdtls,0
ghkrdlsgkek,0
ahdla,0
tn,0
dkan,0
dntdma,0
rlrP,0
ahdid,0
anfwlf,0
dkskdnstj,0
sbtm,0
tkfdkrkek,0
vuek,0
qo,0
tndjq,0
rudnf,0
whdry,0
cmd,0
wkdustmfjqek,0
wkd,0
ehfek,0
tlrtk,0
dksek,0
dlgo,0
dlwek,0
wptlgkek,0
qks,0
qnfrhkgkek,0
ghrdms,0
djacjdskek,0
vus,0
xpffpqlwjs,0
vkdkrgkek,0
vus,0
tlfcjs,0
shfurgkek,0
qhgh,0
Tltek,0
gksvus,0
smwek,0
dldnt,0
vuswl,0
rhdehd,0
Rkekfr,0
qkddks,0
tpsxlalxj,0
vkf,0
qnsaudgkek,0
qnstjr,0
thsu,0
wlskrkek,0
ck,0
tkdvna,0
tjfaud,0
gnffbdgkek,0
rhksrPwk,0
tofh,0
tp,0
dldjwlek,0
xlqmdl,0
qha,0
whdfb,0
skwek,0
djRo,0
wlwjrgkek,0
qnqn,0
dhfo,0
dyrn,0
zldnek,0
snqek,0
qkfekfgkek,0
qkfwjsgkek,0
dugod,0
wnrdma,0
rhxhd,0
emdwkdgkek,0
rhd,0
emtdl,0
djdnfflek,0
dhdnjf,0
tnlek,0
dkfflek,0
ckek,0
rhk,0
ajffl,0
Qoek,0
dPwjd,0
dhQk,0
wmfrjqek,0
gksrP,0
gmsgl,0
qkxkd,0
tkdnjf,0
Tkdnek,0
djswp,0
dPQmek,0
rkfemd,0
smRuwlek,0
dmlwl,0
wjsans,0
wjdghkrgkek,0
chrl,0
skwnd,0
emd,0
aktdlTek,0
auclf,0
tlsrud,0
ckwdkdhek,0
al,0
tkdyd,0
tltjs,0
dkanfjs,0
djsfhs,0
xnwk,0
wldnjs,0
rufwjdgkek,0
ruddud,0
ahrvy,0
tjdwkd,0
tnv,0
djqtdjwlek,0
wkrsus,0
sofurkek,0
Ejdhfmek,0
alclek,0
toqur,0
Tmfprl,0
djffms,0
dlarma,0
vlgo,0
gks,0
antjqek,0
wlrwkd,0
ckaek,0
zmrl,0
rhrl,0
skarlek,0
tjdid,0
wndy,0
wlskclek,0
rkwudhek,0
soato,0
qnemfjqek,0
durlek,0
dl,0
rhddus,0
skasu,0
soshgek,0
Epek,0
aksemfdjwlek,0
threh,0
tlarkrgkek,0
wnsql,0
rPthrehlek,0
rndnjf,0
akfrek,0
thsus,0
thtlr,0
dbdnjf,0
wkrdyd,0
gjfl,0
rhf,0
rhddjq,0
rmwnd,0
shdls,0
qjfek,0
tkfflek,0
to,0
duddj,0
cnftls,0
rufwjd,0
rudgid,0
rlfhr,0
skfma,0
eoekqgkek,0
qksaus,0
Tjfek,0
dnawlrdla,0
dlalwl,0
xjwlek,0
xmrtjd,0
rywkd,0
qjtek,0
djqan,0
dlqtl,0
wnsqlgkek,0
cjdthsus,0
ehqek,0
dmd,0
dlrlek,0
ckwdkqhek,0
cnlgkek,0
ekfnek,0
ekf,0
tkwkd,0
tkadnjf,0
rmfjgwlaks,0
tjsqo,0
djqcp,0
zl,0
rngkek,0
rnrghl,0
rmfjamfh,0
vhgkagkek,0
rjrwjd,0
rufghsgkek,0
aksdir,0
qkfmek,0
tpdnjf,0
tna,0
godtk,0
Roekeek,0
snsk,0
tls,0
dhkd,0
wjawja,0
wlfans,0
xmrquf,0
vkseks,0
gorufgkek,0
rjfl,0
rPthrgkek,0
rmclek,0
rmscj,0
sjansk,0
shvdlek,0
qnwjd,0
tkwjd,0
eheocp,0
akr,0
qnahsla,0
tncnf,0
rPtlek,0
rm,0
wkfmek,0
epflek,0
akfl,0
ancjr,0
qldyd,0
qlgodrl,0
dhfgek,0
dnjsfo,0
cjfl,0
chlch,0
Rhf,0
shfdl,0
Emrjqek,0
Qnfl,0
tndlq,0
ch,0
rmflgkdu,0
skw,0
dlfWlr,0
wlrdnjs,0
Wlrek,0
rkquqek,0
soqn,0
ekth,0
tkdeo,0
dhwjs,0
vlqn,0
rkrp,0
rkemr,0
rmwj,0
eh,0
qur,0
wkdrns,0
andur,0
qneka,0
dirthr,0
dlstk,0
wnf,0
cuekqhek,0
cndqnsgl,0
eo,0
tlscp,0
dpsjwl,0
dnldnjs,0
wjdflgkek,0
wlqdks,0
qorud,0
wnrdlek,0
ekstnsgkek,0
qkseo,0
qjqclr,0
Qkwlek,0
thrma,0
dhdua,0
wkwjsrj,0
ckadugkek,0
xkt,0
vnfmek,0
rO,0
rmfo,0
ahr,0
qkfvy,0
qjawhl,0
dnl,0
gmsemfek,0
rlch,0
shsfl,0
emfkak,0
Qhqek,0
vldnek,0
rkarkr,0
alfl,0
qnwhrgkek,0
dlstk,0
wjgml,0
wlsgodehlek,0
ryxhd,0
rlrn,0
qjq,0
dhfos,0
