text,label
rjt,Korean
gkek,Korean
dlTek,Korean
dlTek,Korean
ehlek,Korean
tn,Korean
gkek,Korean
sk,Korean
rm,Korean
djqtek,Korean
dksgek,Korean
tkfka,Korean
dnfl,Korean
dl,Korean
rm,Korean
dkslek,Korean
qhek,Korean
emd,Korean
Eo,Korean
rj,Korean
qhek,Korean
rkxek,Korean
wnek,Korean
eogkek,Korean
rkek,Korean
sus,Korean
gks,Korean
akf,Korean
dlf,Korean
dl,Korean
Eoans,Korean
akfgkek,Korean
dnlgkek,Korean
rmfjsk,Korean
dhek,Korean
dkfek,Korean
Tl,Korean
rmfjgek,Korean
zmek,Korean
Eh,Korean
dlf,Korean
tkghl,Korean
aksgek,Korean
dks,Korean
whgek,Korean
ej,Korean
qkeek,Korean
rmrjt,Korean
wlq,Korean
skdhek,Korean
Ekfmek,Korean
rmflrh,Korean
answp,Korean
rmfjs,Korean
tkfek,Korean
wj,Korean
ahtgkek,Korean
todrkrgkek,Korean
ahfmek,Korean
thr,Korean
aksemfek,Korean
ep,Korean
en,Korean
dkv,Korean
ruddn,Korean
wnd,Korean
djEjs,Korean
wkf,Korean
rmsu,Korean
ajrek,Korean
dhek,Korean
wktls,Korean
ansghk,Korean
dnjs,Korean
todrkr,Korean
djEjgek,Korean
aud,Korean
xhdgkek,Korean
rmfjek,Korean
thfl,Korean
ektl,Korean
ekfms,Korean
dlfjs,Korean
duwk,Korean
ro,Korean
wjdeh,Korean
enl,Korean
emeek,Korean
ek,Korean
wha,Korean
emfek,Korean
tlvek,Korean
qhdlek,Korean
rkwlek,Korean
gkaRp,Korean
dkdl,Korean
wlskek,Korean
aksgdl,Korean
tlrks,Korean
sj,Korean
wnek,Korean
dlsrks,Korean
tktlf,Korean
skek,Korean
dlfjgek,Korean
djajsl,Korean
sns,Korean
anj,Korean
wja,Korean
dmlgkek,Korean
tleo,Korean
ekdma,Korean
dlfjgkek,Korean
snrn,Korean
wjs,Korean
rht,Korean
dufj,Korean
dks,Korean
gksk,Korean
tprP,Korean
qjflek,Korean
dnl,Korean
dnsehd,Korean
vjtpsxm,Korean
gkrry,Korean
wkrl,Korean
rkwkd,Korean
eoxhdfud,Korean
rkwl,Korean
emfek,Korean
tlwkrgkek,Korean
qkfh,Korean
djsm,Korean
rmfotj,Korean
andjt,Korean
wjdqn,Korean
ahems,Korean
qjs,Korean
rmrj,Korean
ehs,Korean
rnrrk,Korean
rmfjsep,Korean
skf,Korean
durl,Korean
ahen,Korean
dutjd,Korean
clsrn,Korean
akdma,Korean
gn,Korean
rkek,Korean
shgek,Korean
rhksrP,Korean
dkqjwl,Korean
skawk,Korean
djel,Korean
aha,Korean
djfrnf,Korean
emfdjrkek,Korean
dho,Korean
skxkskek,Korean
akfek,Korean
wldur,Korean
ekfmek,Korean
ahtmq,Korean
anf,Korean
aksskek,Korean
soek,Korean
qhdlek,Korean
Tmek,Korean
dlrjt,Korean
djqtdl,Korean
dlqjs,Korean
rlf,Korean
todghkf,Korean
Tmek,Korean
wlrma,Korean
Qns,Korean
tkdl,Korean
qkdqjq,Korean
tofhqek,Korean
dnflskfk,Korean
soek,Korean
dkswek,Korean
cjdma,Korean
ths,Korean
auc,Korean
rmEo,Korean
rhkwjd,Korean
tkfa,Korean
rkwek,Korean
ckwek,Korean
xmrgl,Korean
tl,Korean
dltkd,Korean
wlrma,Korean
skrkek,Korean
dldirl,Korean
rydbr,Korean
tkek,Korean
rudwp,Korean
dkwlr,Korean
wkqek,Korean
rkxdl,Korean
tjstodsla,Korean
dPtnf,Korean
tjek,Korean
aht,Korean
durtk,Korean
dlfrek,Korean
dlwp,Korean
rufrhk,Korean
sodyd,Korean
anffhs,Korean
ehddks,Korean
cor,Korean
dlfdjskek,Korean
ekdtls,Korean
tlwkd,Korean
sjgek,Korean
wnddygkek,Korean
antms,Korean
smRlek,Korean
djfuqek,Korean
gla,Korean
sjan,Korean
skfk,Korean
qnfmek,Korean
dmlal,Korean
wkfl,Korean
qkfrglek,Korean
wnrek,Korean
dlal,Korean
Whr,Korean
wjdcl,Korean
rnrals,Korean
todaud,Korean
dOrl,Korean
gkrtod,Korean
dusrn,Korean
djaak,Korean
dlfma,Korean
gksk,Korean
soflek,Korean
tkrjs,Korean
alc,Korean
tnlqek,Korean
wltek,Korean
Ehgks,Korean
dldb,Korean
Ehsms,Korean
vlfdygkek,Korean
rmf,Korean
todrlek,Korean
tkdydgkek,Korean
skavus,Korean
emfdjdhek,Korean
qkR,Korean
tptkd,Korean
wkrek,Korean
xkek,Korean
eogkr,Korean
wkrvna,Korean
tkdghkd,Korean
rkdnsep,Korean
qhsoek,Korean
enek,Korean
wmr,Korean
Ekfktj,Korean
tkdxo,Korean
dlgn,Korean
ekdtl,Korean
ansgkr,Korean
ejdnr,Korean
dkwn,Korean
wlqkd,Korean
qka,Korean
shvek,Korean
chlrms,Korean
co,Korean
gustlf,Korean
ghksrud,Korean
zjavbxj,Korean
ajswj,Korean
ekslek,Korean
djfaksk,Korean
